Temp,P,Core,Mflow,Pressurizer,L_Mf
417.29,405845.0,0.3631,-90.968,3.4022,110.81
416.35,395421.0,0.4262,40.798,3.6059,29.119
415.47,385752.0,0.4371,-28.412,3.5988,-12.912
414.59,376396.0,0.4241,-217.76,3.5382,-14.489
413.78,367909.0,0.386,21.355,3.484,-9.8493
413.03,360213.0,0.372,-59.072,3.5527,1.731
412.23,352092.0,0.3777,134.06,3.448,-53.541
595.79,15749900.0,3.8306,14802.0,7.834,-2.8908
595.8,15750000.0,3.8306,14803.0,7.834,-4.2053
595.77,15750400.0,3.8306,14804.0,7.834,-3.3561
595.76,15750300.0,3.8306,14804.0,7.834,-1.8119
595.77,15750200.0,3.8306,14804.0,7.834,-1.9022
595.77,15750300.0,3.8306,14804.0,7.834,-2.1593
595.76,15750400.0,3.8306,14805.0,7.834,-1.4311
595.76,15750300.0,3.8306,14804.0,7.834,-1.007
595.76,15750300.0,3.8306,14804.0,7.834,-1.1186
595.76,15750400.0,3.8306,14805.0,7.834,-0.9543
595.75,15750400.0,3.8306,14805.0,7.834,-0.6052
595.76,15750400.0,3.8306,14804.0,7.834,-0.4953
595.76,15750400.0,3.8306,14804.0,7.834,-0.4694
595.76,15750400.0,3.8306,14804.0,7.834,-0.3303
595.76,15750400.0,3.8306,14804.0,7.834,-0.2162
595.76,15750400.0,3.8306,14804.0,7.834,-0.1886
592.23,11290400.0,3.6501,13424.0,7.833,-28.689
589.23,10774400.0,3.4352,11701.0,7.834,-3.0414
574.41,8753400.0,3.3269,7771.3,7.776,-159.35
561.49,7295570.0,2.7561,8035.9,7.241,-161.56
558.02,6930410.0,2.5257,6594.8,7.22,39.361
556.39,6760380.0,2.4849,5598.1,7.285,24.01
555.18,6637740.0,2.4342,4931.4,7.317,13.418
554.19,6538150.0,2.4232,4604.1,7.325,8.491
553.42,6461040.0,2.4766,4251.4,7.326,7.1565
552.85,6404990.0,2.4852,3752.6,7.328,8.2077
552.41,6361880.0,2.4605,3362.1,7.338,11.839
552.08,6329170.0,2.4235,3016.5,7.366,16.055
551.81,6303200.0,2.4062,2754.5,7.402,15.937
551.6,6281880.0,2.3955,2514.7,7.437,14.419
551.41,6264060.0,2.3872,2306.8,7.471,12.938
551.26,6249490.0,2.4123,2093.6,7.502,11.302
551.14,6237830.0,2.416,1875.9,7.529,9.7716
551.04,6227590.0,2.4064,1649.8,7.552,8.225
550.94,6217850.0,2.3991,1467.9,7.571,-1.8538
