Temp,P,Core,Mflow,Pressurizer,L_Mf
550.2400 ,6146320.0000 ,1.8181 ,-346.7100 ,7.4590 ,-9.1140 
550.1800 ,6141380.0000 ,1.8079 ,-401.3700 ,7.4520 ,-8.2158 
550.1200 ,6135910.0000 ,1.8018 ,-407.5800 ,7.4460 ,-7.6042 
550.0500 ,6129130.0000 ,1.7920 ,-378.7700 ,7.4400 ,-7.6924 
549.9900 ,6123090.0000 ,1.7884 ,-307.1400 ,7.4340 ,-7.4245 
549.9400 ,6118510.0000 ,1.8280 ,-165.2600 ,7.4290 ,-6.1308 
549.8600 ,6111740.0000 ,1.8998 ,-101.0600 ,7.4240 ,-6.3403 
549.7400 ,6101910.0000 ,1.9894 ,43.4200 ,7.4180 ,-8.0215 
549.6100 ,6089720.0000 ,2.1145 ,139.0500 ,7.4120 ,-8.8644 
549.4100 ,6071190.0000 ,2.0546 ,-15.6190 ,7.4030 ,-11.1760 
549.2500 ,6055430.0000 ,1.9923 ,-87.9250 ,7.3930 ,-7.6228 
549.0900 ,6040990.0000 ,1.9123 ,-326.5900 ,7.3840 ,-9.7827 
548.9600 ,6027920.0000 ,1.7864 ,-386.0100 ,7.3720 ,-13.4850 
548.8500 ,6018110.0000 ,1.7365 ,-327.5700 ,7.3620 ,-11.3680 
548.7500 ,6008610.0000 ,1.7355 ,-257.9800 ,7.3550 ,-7.9405 
548.6600 ,5999720.0000 ,1.7617 ,-243.8100 ,7.3500 ,-4.6146 
548.5800 ,5993100.0000 ,1.7636 ,-308.4100 ,7.3480 ,-1.4533 
548.5000 ,5985550.0000 ,1.7222 ,-488.5700 ,7.3480 ,0.1664 
548.4100 ,5976610.0000 ,1.6422 ,-502.8600 ,7.3480 ,0.4816 
548.3200 ,5968540.0000 ,1.5833 ,-388.1600 ,7.3480 ,0.0548 
548.2200 ,5958810.0000 ,1.5567 ,-376.2300 ,7.3490 ,0.6009 
548.1100 ,5948990.0000 ,1.5482 ,-299.0800 ,7.3490 ,0.4144 
547.9900 ,5938000.0000 ,1.5742 ,-135.6400 ,7.3490 ,-0.7157 
547.8500 ,5925500.0000 ,1.6765 ,-13.5860 ,7.3470 ,-1.9263 
547.7000 ,5911450.0000 ,1.7757 ,10.7880 ,7.3450 ,-3.0299 
547.5600 ,5899770.0000 ,1.8587 ,-21.5670 ,7.3420 ,-4.2759 
547.4500 ,5890490.0000 ,1.9339 ,-6.5346 ,7.3380 ,-2.7373 
547.3500 ,5882120.0000 ,1.9604 ,-161.0400 ,7.3370 ,0.5911 
547.2900 ,5876040.0000 ,1.9186 ,-187.6000 ,7.3390 ,4.2583 
547.2200 ,5869470.0000 ,1.8484 ,-162.7500 ,7.3430 ,5.9978 
547.1300 ,5860990.0000 ,1.8915 ,-94.1440 ,7.3480 ,4.4571 
547.0400 ,5853790.0000 ,1.9497 ,15.5500 ,7.3510 ,2.9970 
546.9200 ,5844190.0000 ,2.0040 ,-29.8710 ,7.3530 ,0.4985 
546.8000 ,5832120.0000 ,2.0287 ,26.8950 ,7.3530 ,-2.1666 
546.6500 ,5817750.0000 ,1.9563 ,43.7680 ,7.3510 ,-4.3149 
546.4400 ,5800030.0000 ,2.0159 ,43.9500 ,7.3460 ,-7.4780 
546.2200 ,5780560.0000 ,2.0910 ,-40.4760 ,7.3390 ,-7.9744 
545.9700 ,5757850.0000 ,1.9805 ,-58.7070 ,7.3300 ,-10.4640 
545.6800 ,5732040.0000 ,1.9384 ,-0.3481 ,7.3170 ,-16.1860 
545.3800 ,5704990.0000 ,1.9195 ,-64.3170 ,7.3000 ,-21.9210 
545.0800 ,5678220.0000 ,1.8962 ,-122.3500 ,7.2820 ,-21.8530 
544.7800 ,5652180.0000 ,1.8621 ,-116.5500 ,7.2640 ,-18.6980 
544.5100 ,5628570.0000 ,1.8083 ,-317.0200 ,7.2500 ,-14.0860 
544.2600 ,5605290.0000 ,1.6583 ,-207.1600 ,7.2400 ,-8.4573 
543.9700 ,5580320.0000 ,1.6354 ,-167.5600 ,7.2320 ,-10.5990 
543.7100 ,5557320.0000 ,1.6420 ,-282.1700 ,7.2230 ,-10.4220 
543.4300 ,5533320.0000 ,1.6170 ,-306.7200 ,7.2150 ,-10.1270 
543.1200 ,5506570.0000 ,1.6167 ,-234.9200 ,7.2060 ,-10.7650 
542.7800 ,5477420.0000 ,1.6486 ,-178.3200 ,7.1970 ,-9.9735 
542.4100 ,5445450.0000 ,1.7107 ,-90.4540 ,7.1870 ,-13.6940 
542.0100 ,5412430.0000 ,1.8007 ,-71.3700 ,7.1730 ,-20.0230 
541.6000 ,5377960.0000 ,1.8673 ,-261.5300 ,7.1550 ,-23.0010 
541.2000 ,5344460.0000 ,1.8011 ,-425.9100 ,7.1380 ,-19.4980 
540.7500 ,5304960.0000 ,1.6086 ,-167.6900 ,7.1200 ,-25.2350 
540.2700 ,5264380.0000 ,1.6004 ,41.4480 ,7.0990 ,-26.8790 
539.8100 ,5226800.0000 ,1.7256 ,-119.2100 ,7.0780 ,-23.8340 
539.4000 ,5194470.0000 ,1.7573 ,-378.8600 ,7.0610 ,-15.4360 
538.9700 ,5158990.0000 ,1.6838 ,-223.3400 ,7.0490 ,-14.6070 
